
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::               (v3.5.16)

2026-07-11T15:07:44.064+08:00  INFO 29472 --- [computer] [           main] com.upc.computer.ComputerApplication     : Starting ComputerApplication v0.0.1-SNAPSHOT using Java 17.0.18 with PID 29472 (D:\soft\idea\computer\backend\target\computer-0.0.1-SNAPSHOT.jar started by lenovo in D:\soft\idea\computer\backend)
2026-07-11T15:07:44.068+08:00  INFO 29472 --- [computer] [           main] com.upc.computer.ComputerApplication     : No active profile set, falling back to 1 default profile: "default"
2026-07-11T15:07:46.167+08:00  INFO 29472 --- [computer] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode
2026-07-11T15:07:46.177+08:00  INFO 29472 --- [computer] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-07-11T15:07:46.260+08:00  INFO 29472 --- [computer] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 54 ms. Found 0 Redis repository interfaces.
2026-07-11T15:07:46.633+08:00 DEBUG 29472 --- [computer] [           main] org.apache.ibatis.logging.LogFactory     : Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2026-07-11T15:07:46.638+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/AfterSalesCaseMapper.class]
2026-07-11T15:07:46.639+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/AndonAlarmMapper.class]
2026-07-11T15:07:46.640+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/BarcodeRuleMapper.class]
2026-07-11T15:07:46.641+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/BomMapper.class]
2026-07-11T15:07:46.642+08:00 DEBUG 29472 --- [computer] [           main] o.m.s.mapper.ClassPathMapperScanner      : Identified candidate component class: URL [jar:nested:/D:/soft/idea/computer/backend/target/computer-0.0.1-SNAPSHOT.jar/!BOOT-INF/classes/!/com/upc/computer/mapper/CostSettlementMapper.class]
